# Bear River, Utah 1,200 Year Streamflow Reconstruction
#----------------------------------------------------------------------- 
#                World Data Service for Paleoclimatology, Boulder 
#                                  and 
#                     NOAA Paleoclimatology Program 
#             National Centers for Environmental Information (NCEI)
#----------------------------------------------------------------------- 
# 
# NOTE: Please cite Publication, and Online_Resource and date accessed when using these data. 
# If there is no publication information, please cite Investigators, Title, and Online_Resource and date accessed. 
#
# Online_Resource: https://www.ncdc.noaa.gov/paleo/study/19299 
# Online_Resource: http://www1.ncdc.noaa.gov/pub/data/paleo/treering/reconstructions/northamerica/usa/utah/bear2015flow.txt
#
# Original_Source_URL: 
# 
# Description/Documentation lines begin with #
# Data lines have no #
#
# Archive: Climate Reconstructions
#
# Parameter_Keywords: Streamflow
#--------------------
# Contribution_Date
#	Date: 2015-09-29
#--------------------
# Title
#	Study_Name: Bear River, Utah 1,200 Year Streamflow Reconstruction
#--------------------
# Investigators
# 	Investigators: DeRose, R.J.; Bekker, M.F.; Wang, S.-Y.; Buckley, B.M.; Kjelgren, R.K.; Bardsley, T.; Rittenour, T.M.; Allen, E.B.
#--------------------
# Description_and_Notes
#	Description: Tree-ring-based reconstruction of Bear River, Utah streamflow over the past 1200 years. Utah Juniper tree-ring data 
#	are archived in the International Tree-Ring Data Bank, Site Code UT541: 
#	https://www.ncdc.noaa.gov/paleo/study/19359
#--------------------
# Publication 
#	Authors: R.J. DeRose, M.F. Bekker, S.-Y. Wang, B.M. Buckley, R.K. Kjelgren, T. Bardsley, T.M. Rittenour, E.B. Allen
#	Published_Date_or_Year: 2015-10-01
#	Published_Title: A millennium-length reconstruction of Bear River stream flow, Utah
#	Journal_Name: Journal of Hydrology
#	Volume: 529
#	Edition: 2
#	Issue: 
#	Pages: 524-534
#	Report_Number: 
#	DOI: 10.1016/j.jhydrol.2015.01.014
#	Online_Resource: http://www.sciencedirect.com/science/article/pii/S0022169415000311
#	Full_Citation: 
#	Abstract: The Bear River contributes more water to the eastern Great Basin than any other river system. It is also the most significant source of water for the burgeoning Wasatch Front metropolitan area in northern Utah. Despite its importance for water resources for the region's agricultural, urban, and wildlife needs, our understanding of the variability of Bear River's stream flow derives entirely from the short instrumental record (1943-2010). Here we present a 1200-year calibrated and verified tree-ring reconstruction of stream flow for the Bear River that explains 67% of the variance of the instrumental record over the period from 1943 to 2010. Furthermore, we developed this reconstruction from a species that is not typically used for dendroclimatology, Utah juniper (Juniperus osteosperma). We identify highly significant periodicity in our reconstruction at quasi-decadal (7-8 year), multi-decadal (30 year), and centennial (>50 years) scales. The latter half of the 20th century was found to be the 2nd wettest (~40-year) period of the past 1200 years, while the first half of the 20th century marked the 4th driest period. The most severe period of reduced stream flow occurred during the Medieval Warm Period (ca. mid-1200s CE) and persisted for ~70 years. Upper-level circulation anomalies suggest that atmospheric teleconnections originating in the western tropical Pacific are responsible for the delivery of precipitation to the Bear River watershed during the October-December (OND) season of the previous year. The Bear River flow was compared to recent reconstructions of the other tributaries to the Great Salt Lake (GSL) and the GSL level. Implications for water management could be drawn from the observation that the latter half of the 20th century was the 2nd wettest in 1200 years, and that management for future water supply should take into account the stream flow variability over the past millennium.
#------------------
# Funding_Agency 
#	Funding_Agency_Name: US Bureau of Reclamation
#	Grant: WaterSmart Grant R13AC80039
#------------------
# Site_Information 
#	Site_Name: Bear River Headwaters (USGS gage 10011500)
#	Location: North America>United States Of America>Utah
#	Country: United States Of America 
#	Northernmost_Latitude: 40.9653
#	Southernmost_Latitude: 40.9653
#	Easternmost_Longitude: -110.8528
#	Westernmost_Longitude: -110.8528 
#	Elevation: 2428 m  
#------------------
# Data_Collection   
#	Collection_Name: Bear2015flow
#	Earliest_Year: 800
#	Most_Recent_Year: 2010
#	Time_Unit: AD
#	Core_Length: m
#	Notes: 
#------------------
# Species 
#	Species_Name: Juniperus osteosperma
#	Common_Name: Utah juniper 
#	Tree_Species_Code: JUOS 
#------------------
# Chronology_Information
#	Chronology: 
# 	
#----------------	
# Variables 
#
# Data variables follow are preceded by "##" in columns one and two.
# Data line variables format:  Variables list, one per line, shortname-tab-longname-tab-longname components (9 components: what, material, error, units, seasonality, archive, detail, method, C or N for Character or Numeric data) 
#
## age_AD	Age, , , AD, , , , ,N
## flow-rec-m3s	Streamflow, , , cubic meters per second, water year (October–September), Climate Reconstructions, water-year (October–September) mean annual flow (MAF), tree-ring reconstructed,N
## flow-obs-m3s	Streamflow, , , cubic meters per second, water year (October–September), Climate Reconstructions, water-year (October–September) mean annual flow (MAF), observed,N		
#
#----------------
# Data:
# Data lines follow (have no #)
# Data line format - tab-delimited text, variable short name as header
# Missing Values:  
#
age_AD	flow-rec-m3s	flow-obs-m3s
1742	5.963	
1741	5.325	
1740	3.303	
1739	3.878	
1738	3.423	
1737	3.517	
1736	2.982	
1735	2.814	
1734	5.164	
1733	5.530	
1732	4.582	
1731	4.089	
1730	5.825	
1729	3.532	
1728	5.365	
1727	6.715	
1726	6.982	
1725	6.075	
1724	5.110	
1723	4.691	
1722	4.951	
1721	2.653	
1720	5.314	
1719	4.429	
1718	4.164	
1717	4.231	
1716	5.149	
1715	3.542	
1714	3.558	
1713	3.858	
1712	3.494	
1711	3.784	
1710	3.906	
1709	4.236	
1708	3.689	
1707	3.929	
1706	2.844	
1705	4.650	
1704	5.051	
1703	5.821	
1702	6.258	
1701	6.215	
1700	5.834	
1699	5.112	
1698	4.092	
1697	3.752	
1696	4.425	
1695	3.205	
1694	4.457	
1693	4.390	
1692	5.575	
1691	5.654	
1690	4.608	
1689	4.221	
1688	4.836	
1687	5.243	
1686	3.214	
1685	3.164	
1684	4.854	
1683	5.250	
1682	6.209	
1681	5.989	
1680	5.908	
1679	5.098	
1678	5.129	
1677	6.033	
1676	6.620	
1675	5.690	
1674	5.684	
1673	6.007	
1672	6.568	
1671	5.058	
1670	4.341	
1669	5.457	
1668	5.376	
1667	3.738	
1666	6.059	
1665	5.423	
1664	5.716	
1663	4.667	
1662	4.433	
1661	3.637	
1660	2.343	
1659	3.565	
1658	3.407	
1657	2.707	
1656	3.087	
1655	3.152	
1654	4.065	
1653	3.440	
1652	4.049	
1651	3.390	
1650	4.653	
1649	3.653	
1648	3.421	
1647	4.519	
1646	2.373	
1645	2.963	
1644	4.823	
1643	3.426	
1642	6.280	
1641	4.493	
1640	5.131	
1639	3.353	
1638	3.576	
1637	3.977	
1636	3.734	
1635	4.665	
1634	4.616	
1633	6.606	
1632	2.601	
1631	3.733	
1630	4.256	
1629	4.260	
1628	4.548	
1627	3.855	
1626	4.287	
1625	5.554	
1624	4.896	
1623	5.862	
1622	4.785	
1621	6.847	
1620	3.954	
1619	4.755	
1618	5.374	
1617	6.842	
1616	7.116	
1615	6.250	
1614	5.530	
1613	5.820	
1612	6.686	
1611	7.057	
1610	6.784	
1609	6.205	
1608	6.619	
1607	4.036	
1606	6.477	
1605	6.256	
1604	6.157	
1603	5.650	
1602	5.116	
1601	5.729	
1600	2.790	
1599	5.596	
1598	4.917	
1597	4.519	
1596	5.718	
1595	4.081	
1594	4.949	
1593	3.792	
1592	3.351	
1591	5.408	
1590	4.694	
1589	5.775	
1588	4.924	
1587	4.678	
1586	4.070	
1585	2.365	
1584	3.362	
1583	4.449	
1582	4.221	
1581	4.560	
1580	2.345	
1579	4.153	
1578	5.061	
1577	6.167	
1576	4.931	
1575	5.172	
1574	3.930	
1573	4.900	
1572	4.252	
1571	4.946	
1570	4.439	
1569	4.464	
1568	4.214	
1567	3.858	
1566	5.486	
1565	4.025	
1564	5.359	
1563	4.128	
1562	3.805	
1561	4.518	
1560	5.494	
1559	5.135	
1558	6.348	
1557	7.309	
1556	6.662	
1555	6.297	
1554	5.526	
1553	7.134	
1552	5.344	
1551	6.908	
1550	6.883	
1549	5.360	
1548	3.586	
1547	2.560	
1546	5.011	
1545	3.393	
1544	4.872	
1543	3.685	
1542	4.377	
1541	4.490	
1540	3.853	
1539	4.150	
1538	6.204	
1537	5.826	
1536	5.841	
1535	5.091	
1534	3.867	
1533	3.579	
1532	2.533	
1531	3.898	
1530	4.855	
1529	2.540	
1528	3.953	
1527	4.941	
1526	4.616	
1525	6.225	
1524	5.577	
1523	4.384	
1522	3.457	
1521	4.788	
1520	2.231	
1519	4.449	
1518	3.385	
1517	4.498	
1516	4.121	
1515	2.885	
1514	4.826	
1513	3.594	
1512	4.724	
1511	4.147	
1510	5.359	
1509	5.876	
1508	4.273	
1507	5.495	
1506	2.298	
1505	2.953	
1504	5.548	
1503	4.930	
1502	4.986	
1501	3.770	
1500	4.155	
1499	5.193	
1498	6.031	
1497	5.152	
1496	3.762	
1495	4.556	
1494	6.335	
1493	6.122	
1492	6.679	
1491	5.146	
1490	5.534	
1489	5.126	
1488	4.818	
1487	5.806	
1486	6.809	
1485	4.740	
1484	6.619	
1483	3.789	
1482	4.513	
1481	5.559	
1480	5.051	
1479	3.374	
1478	4.511	
1477	4.711	
1476	2.985	
1475	2.504	
1474	3.525	
1473	3.853	
1472	4.564	
1471	4.858	
1470	4.629	
1469	4.105	
1468	4.969	
1467	5.404	
1466	4.446	
1465	5.694	
1464	6.270	
1463	6.205	
1462	4.685	
1461	3.485	
1460	3.638	
1459	2.839	
1458	3.760	
1457	4.770	
1456	2.797	
1455	4.725	
1454	4.442	
1453	4.096	
1452	4.772	
1451	4.138	
1450	3.908	
1449	4.679	
1448	5.188	
1447	4.347	
1446	4.217	
1445	4.130	
1444	3.308	
1443	5.192	
1442	4.593	
1441	4.095	
1440	4.136	
1439	1.953	
1438	2.863	
1437	3.292	
1436	3.365	
1435	2.951	
1434	2.251	
1433	3.128	
1432	3.478	
1431	3.558	
1430	4.049	
1429	3.926	
1428	4.528	
1427	4.080	
1426	3.581	
1425	4.156	
1424	4.506	
1423	5.623	
1422	5.832	
1421	5.861	
1420	5.737	
1419	6.037	
1418	3.603	
1417	5.656	
1416	5.859	
1415	4.476	
1414	5.864	
1413	5.752	
1412	5.166	
1411	4.918	
1410	4.619	
1409	3.238	
1408	5.535	
1407	5.938	
1406	4.331	
1405	6.955	
1404	7.380	
1403	6.788	
1402	6.907	
1401	5.341	
1400	5.401	
1399	4.357	
1398	3.502	
1397	5.673	
1396	4.010	
1395	6.039	
1394	6.079	
1393	5.609	
1392	5.822	
1391	5.492	
1390	7.306	
1389	4.863	
1388	6.696	
1387	5.281	
1386	8.574	
1385	9.424	
1384	8.132	
1383	6.804	
1382	5.557	
1381	4.574	
1380	3.460	
1379	5.239	
1378	4.616	
1377	5.840	
1376	4.433	
1375	3.848	
1374	4.623	
1373	3.847	
1372	5.118	
1371	5.511	
1370	5.451	
1369	5.241	
1368	5.289	
1367	5.645	
1366	5.053	
1365	5.076	
1364	5.182	
1363	3.777	
1362	4.946	
1361	3.022	
1360	4.910	
1359	4.022	
1358	7.669	
1357	7.153	
1356	7.191	
1355	6.942	
1354	3.937	
1353	4.470	
1352	5.538	
1351	4.085	
1350	3.658	
1349	5.615	
1348	4.212	
1347	6.330	
1346	7.573	
1345	7.031	
1344	5.279	
1343	5.187	
1342	4.709	
1341	5.900	
1340	6.620	
1339	5.494	
1338	5.718	
1337	3.578	
1336	4.587	
1335	5.614	
1334	4.888	
1333	6.836	
1332	7.512	
1331	6.667	
1330	5.548	
1329	4.995	
1328	5.585	
1327	5.157	
1326	5.853	
1325	3.522	
1324	5.335	
1323	5.708	
1322	5.142	
1321	4.213	
1320	3.995	
1319	3.902	
1318	4.803	
1317	2.564	
1316	3.962	
1315	5.547	
1314	5.223	
1313	5.150	
1312	4.898	
1311	5.060	
1310	5.100	
1309	3.521	
1308	4.559	
1307	2.731	
1306	3.906	
1305	5.556	
1304	5.323	
1303	4.978	
1302	3.950	
1301	4.128	
1300	5.659	
1299	5.817	
1298	5.563	
1297	3.204	
1296	3.448	
1295	3.081	
1294	5.112	
1293	6.913	
1292	5.603	
1291	5.607	
1290	6.562	
1289	5.470	
1288	4.442	
1287	4.642	
1286	6.517	
1285	4.682	
1284	6.425	
1283	5.634	
1282	5.809	
1281	3.907	
1280	4.891	
1279	2.546	
1278	3.022	
1277	5.270	
1276	3.052	
1275	3.491	
1274	4.382	
1273	5.276	
1272	5.359	
1271	4.910	
1270	3.324	
1269	5.395	
1268	4.656	
1267	4.968	
1266	5.033	
1265	3.926	
1264	2.718	
1263	2.473	
1262	3.605	
1261	2.745	
1260	3.962	
1259	4.504	
1258	2.430	
1257	3.635	
1256	3.245	
1255	3.714	
1254	2.421	
1253	2.384	
1252	3.334	
1251	2.929	
1250	3.434	
1249	3.873	
1248	5.339	
1247	4.374	
1246	2.761	
1245	2.646	
1244	4.383	
1243	3.650	
1242	4.476	
1241	5.008	
1240	5.199	
1239	4.195	
1238	5.189	
1237	2.768	
1236	3.921	
1235	3.897	
1234	2.435	
1233	2.556	
1232	2.797	
1231	4.135	
1230	3.447	
1229	4.056	
1228	4.597	
1227	4.358	
1226	5.043	
1225	5.684	
1224	4.569	
1223	2.888	
1222	3.415	
1221	5.217	
1220	4.581	
1219	5.281	
1218	3.412	
1217	3.249	
1216	5.204	
1215	3.991	
1214	4.626	
1213	3.323	
1212	3.990	
1211	4.856	
1210	4.120	
1209	5.753	
1208	5.289	
1207	5.861	
1206	8.106	
1205	7.210	
1204	6.613	
1203	3.293	
1202	6.424	
1201	3.842	
1200	4.653	
1199	4.848	
1198	6.546	
1197	8.936	
1196	6.538	
1195	8.676	
1194	4.981	
1193	7.364	
1192	7.512	
1191	6.058	
1190	5.708	
1189	5.060	
1188	5.919	
1187	5.477	
1186	5.425	
1185	4.629	
1184	5.963	
1183	6.344	
1182	7.623	
1181	6.467	
1180	4.857	
1179	4.359	
1178	4.014	
1177	3.287	
1176	2.319	
1175	3.830	
1174	3.439	
1173	5.426	
1172	4.418	
1171	4.430	
1170	5.293	
1169	6.219	
1168	5.278	
1167	4.837	
1166	4.516	
1165	5.222	
1164	4.831	
1163	4.987	
1162	3.747	
1161	2.568	
1160	3.512	
1159	4.296	
1158	3.639	
1157	5.040	
1156	3.985	
1155	5.682	
1154	4.424	
1153	4.317	
1152	3.536	
1151	3.691	
1150	3.930	
1149	5.171	
1148	3.483	
1147	5.938	
1146	6.314	
1145	5.443	
1144	7.111	
1143	5.285	
1142	6.486	
1141	4.475	
1140	6.077	
1139	6.802	
1138	4.812	
1137	4.762	
1136	5.026	
1135	4.587	
1134	5.621	
1133	4.778	
1132	3.738	
1131	5.571	
1130	4.867	
1129	7.294	
1128	5.249	
1127	3.735	
1126	2.915	
1125	6.042	
1124	4.334	
1123	4.037	
1122	5.072	
1121	6.556	
1120	6.582	
1119	6.042	
1118	6.334	
1117	6.971	
1116	5.983	
1115	4.763	
1114	5.255	
1113	5.567	
1112	5.018	
1111	4.485	
1110	4.791	
1109	4.097	
1108	3.863	
1107	5.864	
1106	3.733	
1105	5.301	
1104	3.243	
1103	6.171	
1102	4.583	
1101	3.966	
1100	3.635	
1099	3.979	
1098	3.376	
1097	3.393	
1096	4.385	
1095	3.945	
1094	4.511	
1093	4.679	
1092	3.725	
1091	3.667	
1090	5.412	
1089	5.844	
1088	7.312	
1087	7.744	
1086	7.605	
1085	6.116	
1084	5.620	
1083	5.885	
1082	5.787	
1081	5.894	
1080	5.426	
1079	5.707	
1078	4.758	
1077	4.988	
1076	4.334	
1075	3.992	
1074	3.656	
1073	4.388	
1072	3.023	
1071	4.440	
1070	3.366	
1069	3.488	
1068	3.334	
1067	4.576	
1066	5.183	
1065	4.895	
1064	5.777	
1063	4.752	
1062	4.644	
1061	5.008	
1060	4.283	
1059	4.103	
1058	5.650	
1057	4.902	
1056	3.808	
1055	4.663	
1054	5.750	
1053	4.251	
1052	4.410	
1051	5.795	
1050	5.096	
1049	5.713	
1048	5.369	
1047	5.950	
1046	6.666	
1045	6.369	
1044	4.931	
1043	2.842	
1042	3.347	
1041	3.784	
1040	3.110	
1039	4.528	
1038	4.281	
1037	3.988	
1036	3.715	
1035	3.067	
1034	3.354	
1033	6.386	
1032	5.301	
1031	6.057	
1030	5.250	
1029	5.718	
1028	6.325	
1027	6.604	
1026	7.515	
1025	6.255	
1024	7.696	
1023	6.744	
1022	5.004	
1021	4.761	
1020	5.749	
1019	5.877	
1018	3.304	
1017	5.018	
1016	3.442	
1015	2.452	
1014	2.395	
1013	4.326	
1012	3.331	
1011	4.929	
1010	5.744	
1009	5.694	
1008	5.749	
1007	5.117	
1006	5.291	
1005	4.821	
1004	4.676	
1003	4.809	
1002	5.224	
1001	5.193	
1000	4.722	
999	4.053	
998	2.661	
997	3.316	
996	4.836	
995	4.194	
994	4.622	
993	5.144	
992	4.430	
991	6.418	
990	4.679	
989	4.739	
988	5.082	
987	5.310	
986	4.561	
985	3.714	
984	4.006	
983	3.981	
982	3.637	
981	3.484	
980	3.745	
979	4.148	
978	3.872	
977	3.907	
976	6.266	
975	4.680	
974	6.311	
973	6.590	
972	5.973	
971	4.113	
970	5.106	
969	3.730	
968	3.831	
967	4.029	
966	2.669	
965	3.982	
964	3.983	
963	3.780	
962	3.088	
961	3.128	
960	2.460	
959	3.617	
958	4.794	
957	2.435	
956	5.125	
955	4.688	
954	6.208	
953	6.435	
952	5.736	
951	5.051	
950	5.130	
949	4.151	
948	3.719	
947	4.474	
946	5.287	
945	5.169	
944	4.593	
943	4.956	
942	4.186	
941	5.359	
940	4.198	
939	4.877	
938	5.597	
937	6.061	
936	4.858	
935	4.513	
934	3.606	
933	4.432	
932	4.421	
931	4.598	
930	4.961	
929	5.242	
928	5.483	
927	3.457	
926	4.283	
925	4.812	
924	2.682	
923	4.179	
922	4.172	
921	4.570	
920	3.561	
919	5.705	
918	4.939	
917	5.574	
916	4.920	
915	4.168	
914	4.493	
913	3.323	
912	3.934	
911	4.940	
910	5.252	
909	5.249	
908	5.002	
907	4.830	
906	5.643	
905	4.558	
904	4.628	
903	4.240	
902	5.797	
901	6.161	
900	5.664	
899	6.882	
898	6.360	
897	6.623	
896	6.066	
895	4.205	
894	5.815	
893	4.871	
892	5.426	
891	4.656	
890	4.110	
889	5.012	
888	5.872	
887	4.391	
886	5.246	
885	4.848	
884	4.607	
883	4.012	
882	4.374	
881	6.419	
880	5.851	
879	6.775	
878	7.068	
877	5.937	
876	5.054	
875	5.235	
874	3.953	
873	2.578	
872	3.379	
871	4.775	
870	4.276	
869	4.057	
868	3.230	
867	3.204	
866	4.330	
865	3.268	
864	4.164	
863	4.359	
862	4.283	
861	4.668	
860	5.427	
859	6.069	
858	6.284	
857	4.766	
