# ---------------------------------- WARNING ----------------------------------------
# Provisional data are subject to revision. Go to
# http://help.waterdata.usgs.gov/policies/provisional-data-statement for more information.
#
# File-format description:  http://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: http://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2017-03-07 18:09:55 -05:00	(natwebvaas01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 10011500 BEAR RIVER NEAR UTAH-WYOMING STATE LINE
# -----------------------------------------------------------------------------------
#
# TS_ID - An internal number representing a time series.
# IV_TS_ID - An internal number representing the Instantaneous Value time series from which the daily statistic is calculated.
#
# Data provided for site 10011500
#    TS_ID       Parameter    Statistic  IV_TS_ID       Description
#    143377      00060        00003      144242         Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been edited or estimated by USGS personnel and is write protected.
#     P  Provisional data subject to revision.
#     Ice  Ice affected
#
agency_cd	site_no	datetime	143377_00060_00003	143377_00060_00003_cd
USGS	10011500	1943-01-23	30	A
USGS	10011500	1943-01-24	30	A
USGS	10011500	1943-01-25	30	A
USGS	10011500	1943-01-26	30	A
USGS	10011500	1943-01-27	30	A
USGS	10011500	1943-01-28	30	A
USGS	10011500	1943-01-29	30	A
USGS	10011500	1943-01-30	30	A
USGS	10011500	1943-01-31	30	A
USGS	10011500	1943-02-01	33	A
USGS	10011500	1943-02-02	33	A
USGS	10011500	1943-02-03	33	A
USGS	10011500	1943-02-04	33	A
USGS	10011500	1943-02-05	33	A
USGS	10011500	1943-02-06	33	A
USGS	10011500	1943-02-07	33	A
USGS	10011500	1943-02-08	33	A
USGS	10011500	1943-02-09	33	A
USGS	10011500	1943-02-10	33	A
USGS	10011500	1943-02-11	33	A
USGS	10011500	1943-02-12	33	A
USGS	10011500	1943-02-13	33	A
USGS	10011500	1943-02-14	33	A
USGS	10011500	1943-02-15	33	A
USGS	10011500	1943-02-16	40	A
USGS	10011500	1943-02-17	40	A
USGS	10011500	1943-02-18	40	A
USGS	10011500	1943-02-19	40	A
USGS	10011500	1943-02-20	40	A
USGS	10011500	1943-02-21	40	A
USGS	10011500	1943-02-22	40	A
USGS	10011500	1943-02-23	40	A
USGS	10011500	1943-02-24	40	A
USGS	10011500	1943-02-25	40	A
USGS	10011500	1943-02-26	40	A
USGS	10011500	1943-02-27	40	A
USGS	10011500	1943-02-28	40	A
USGS	10011500	1943-03-01	33	A
USGS	10011500	1943-03-02	33	A
USGS	10011500	1943-03-03	33	A
USGS	10011500	1943-03-04	33	A
USGS	10011500	1943-03-05	33	A
USGS	10011500	1943-03-06	33	A
USGS	10011500	1943-03-07	33	A
USGS	10011500	1943-03-08	33	A
USGS	10011500	1943-03-09	35	A
USGS	10011500	1943-03-10	38	A
USGS	10011500	1943-03-11	43	A
USGS	10011500	1943-03-12	47	A
USGS	10011500	1943-03-13	50	A
USGS	10011500	1943-03-14	50	A
USGS	10011500	1943-03-15	50	A
USGS	10011500	1943-03-16	50	A
USGS	10011500	1943-03-17	50	A
USGS	10011500	1943-03-18	45	A
USGS	10011500	1943-03-19	40	A
USGS	10011500	1943-03-20	40	A
USGS	10011500	1943-03-21	40	A
USGS	10011500	1943-03-22	40	A
USGS	10011500	1943-03-23	40	A
USGS	10011500	1943-03-24	43	A
USGS	10011500	1943-03-25	46	A
USGS	10011500	1943-03-26	50	A
USGS	10011500	1943-03-27	60	A
USGS	10011500	1943-03-28	70	A
USGS	10011500	1943-03-29	80	A
USGS	10011500	1943-03-30	85	A
USGS	10011500	1943-03-31	75	A
USGS	10011500	1943-04-01	80	A
USGS	10011500	1943-04-02	95	A
USGS	10011500	1943-04-03	110	A
USGS	10011500	1943-04-04	130	A
USGS	10011500	1943-04-05	125	A
USGS	10011500	1943-04-06	120	A
USGS	10011500	1943-04-07	115	A
USGS	10011500	1943-04-08	110	A
USGS	10011500	1943-04-09	105	A
USGS	10011500	1943-04-10	100	A
USGS	10011500	1943-04-11	95	A
USGS	10011500	1943-04-12	100	A
USGS	10011500	1943-04-13	120	A
USGS	10011500	1943-04-14	150	A
USGS	10011500	1943-04-15	180	A
USGS	10011500	1943-04-16	200	A
USGS	10011500	1943-04-17	220	A
USGS	10011500	1943-04-18	250	A
USGS	10011500	1943-04-19	280	A
USGS	10011500	1943-04-20	350	A
USGS	10011500	1943-04-21	398	A
USGS	10011500	1943-04-22	448	A
USGS	10011500	1943-04-23	590	A
USGS	10011500	1943-04-24	656	A
USGS	10011500	1943-04-25	639	A
USGS	10011500	1943-04-26	575	A
USGS	10011500	1943-04-27	523	A
USGS	10011500	1943-04-28	622	A
USGS	10011500	1943-04-29	664	A
USGS	10011500	1943-04-30	762	A
USGS	10011500	1943-05-01	968	A
USGS	10011500	1943-05-02	979	A
USGS	10011500	1943-05-03	990	A
USGS	10011500	1943-05-04	979	A
USGS	10011500	1943-05-05	810	A
USGS	10011500	1943-05-06	682	A
USGS	10011500	1943-05-07	568	A
USGS	10011500	1943-05-08	481	A
USGS	10011500	1943-05-09	423	A
USGS	10011500	1943-05-10	398	A
USGS	10011500	1943-05-11	423	A
USGS	10011500	1943-05-12	435	A
USGS	10011500	1943-05-13	454	A
USGS	10011500	1943-05-14	441	A
USGS	10011500	1943-05-15	423	A
USGS	10011500	1943-05-16	382	A
USGS	10011500	1943-05-17	343	A
USGS	10011500	1943-05-18	314	A
USGS	10011500	1943-05-19	309	A
USGS	10011500	1943-05-20	319	A
USGS	10011500	1943-05-21	348	A
USGS	10011500	1943-05-22	376	A
USGS	10011500	1943-05-23	523	A
USGS	10011500	1943-05-24	648	A
USGS	10011500	1943-05-25	800	A
USGS	10011500	1943-05-26	860	A
USGS	10011500	1943-05-27	913	A
USGS	10011500	1943-05-28	990	A
USGS	10011500	1943-05-29	990	A
USGS	10011500	1943-05-30	946	A
USGS	10011500	1943-05-31	902	A
USGS	10011500	1943-06-01	1070	A
USGS	10011500	1943-06-02	840	A
USGS	10011500	1943-06-03	648	A
USGS	10011500	1943-06-04	582	A
USGS	10011500	1943-06-05	523	A
USGS	10011500	1943-06-06	502	A
USGS	10011500	1943-06-07	474	A
USGS	10011500	1943-06-08	502	A
USGS	10011500	1943-06-09	575	A
USGS	10011500	1943-06-10	648	A
USGS	10011500	1943-06-11	699	A
USGS	10011500	1943-06-12	673	A
USGS	10011500	1943-06-13	648	A
USGS	10011500	1943-06-14	560	A
USGS	10011500	1943-06-15	523	A
USGS	10011500	1943-06-16	454	A
USGS	10011500	1943-06-17	481	A
USGS	10011500	1943-06-18	639	A
USGS	10011500	1943-06-19	762	A
USGS	10011500	1943-06-20	810	A
USGS	10011500	1943-06-21	830	A
USGS	10011500	1943-06-22	820	A
USGS	10011500	1943-06-23	810	A
USGS	10011500	1943-06-24	810	A
USGS	10011500	1943-06-25	780	A
USGS	10011500	1943-06-26	780	A
USGS	10011500	1943-06-27	726	A
USGS	10011500	1943-06-28	656	A
USGS	10011500	1943-06-29	639	A
USGS	10011500	1943-06-30	639	A
USGS	10011500	1943-07-01	575	A
USGS	10011500	1943-07-02	516	A
USGS	10011500	1943-07-03	448	A
USGS	10011500	1943-07-04	423	A
USGS	10011500	1943-07-05	392	A
USGS	10011500	1943-07-06	387	A
USGS	10011500	1943-07-07	382	A
USGS	10011500	1943-07-08	382	A
USGS	10011500	1943-07-09	343	A
USGS	10011500	1943-07-10	329	A
USGS	10011500	1943-07-11	309	A
USGS	10011500	1943-07-12	291	A
USGS	10011500	1943-07-13	278	A
USGS	10011500	1943-07-14	248	A
USGS	10011500	1943-07-15	252	A
USGS	10011500	1943-07-16	319	A
USGS	10011500	1943-07-17	232	A
USGS	10011500	1943-07-18	205	A
USGS	10011500	1943-07-19	198	A
USGS	10011500	1943-07-20	198	A
USGS	10011500	1943-07-21	244	A
USGS	10011500	1943-07-22	205	A
USGS	10011500	1943-07-23	187	A
USGS	10011500	1943-07-24	169	A
USGS	10011500	1943-07-25	156	A
USGS	10011500	1943-07-26	150	A
USGS	10011500	1943-07-27	140	A
USGS	10011500	1943-07-28	140	A
USGS	10011500	1943-07-29	143	A
USGS	10011500	1943-07-30	143	A
USGS	10011500	1943-07-31	140	A
USGS	10011500	1943-08-01	143	A
USGS	10011500	1943-08-02	160	A
USGS	10011500	1943-08-03	137	A
USGS	10011500	1943-08-04	123	A
USGS	10011500	1943-08-05	114	A
USGS	10011500	1943-08-06	143	A
USGS	10011500	1943-08-07	160	A
USGS	10011500	1943-08-08	180	A
USGS	10011500	1943-08-09	140	A
USGS	10011500	1943-08-10	117	A
USGS	10011500	1943-08-11	114	A
USGS	10011500	1943-08-12	106	A
USGS	10011500	1943-08-13	98	A
USGS	10011500	1943-08-14	91	A
USGS	10011500	1943-08-15	91	A
USGS	10011500	1943-08-16	93	A
USGS	10011500	1943-08-17	93	A
USGS	10011500	1943-08-18	114	A
USGS	10011500	1943-08-19	104	A
USGS	10011500	1943-08-20	84	A
USGS	10011500	1943-08-21	70	A
USGS	10011500	1943-08-22	68	A
USGS	10011500	1943-08-23	62	A
USGS	10011500	1943-08-24	60	A
USGS	10011500	1943-08-25	55	A
USGS	10011500	1943-08-26	52	A
USGS	10011500	1943-08-27	52	A
USGS	10011500	1943-08-28	48	A
USGS	10011500	1943-08-29	48	A
USGS	10011500	1943-08-30	62	A
USGS	10011500	1943-08-31	54	A
USGS	10011500	1943-09-01	51	A
USGS	10011500	1943-09-02	48	A
USGS	10011500	1943-09-03	45	A
USGS	10011500	1943-09-04	44	A
USGS	10011500	1943-09-05	44	A
USGS	10011500	1943-09-06	44	A
USGS	10011500	1943-09-07	40	A
USGS	10011500	1943-09-08	41	A
USGS	10011500	1943-09-09	42	A
USGS	10011500	1943-09-10	42	A
USGS	10011500	1943-09-11	41	A
USGS	10011500	1943-09-12	39	A
USGS	10011500	1943-09-13	42	A
USGS	10011500	1943-09-14	39	A
USGS	10011500	1943-09-15	34	A
USGS	10011500	1943-09-16	33	A
USGS	10011500	1943-09-17	33	A
USGS	10011500	1943-09-18	32	A
USGS	10011500	1943-09-19	32	A
USGS	10011500	1943-09-20	29	A
USGS	10011500	1943-09-21	29	A
USGS	10011500	1943-09-22	29	A
USGS	10011500	1943-09-23	28	A
USGS	10011500	1943-09-24	28	A
USGS	10011500	1943-09-25	29	A
USGS	10011500	1943-09-26	29	A
USGS	10011500	1943-09-27	40	A
USGS	10011500	1943-09-28	54	A
USGS	10011500	1943-09-29	57	A
USGS	10011500	1943-09-30	47	A
USGS	10011500	1943-10-01	41	A
USGS	10011500	1943-10-02	40	A
USGS	10011500	1943-10-03	40	A
USGS	10011500	1943-10-04	40	A
USGS	10011500	1943-10-05	39	A
USGS	10011500	1943-10-06	38	A
USGS	10011500	1943-10-07	37	A
USGS	10011500	1943-10-08	38	A
USGS	10011500	1943-10-09	39	A
USGS	10011500	1943-10-10	38	A
USGS	10011500	1943-10-11	59	A
USGS	10011500	1943-10-12	64	A
USGS	10011500	1943-10-13	50	A
USGS	10011500	1943-10-14	50	A
USGS	10011500	1943-10-15	46	A
USGS	10011500	1943-10-16	48	A
USGS	10011500	1943-10-17	49	A
USGS	10011500	1943-10-18	46	A
USGS	10011500	1943-10-19	67	A
USGS	10011500	1943-10-20	59	A
USGS	10011500	1943-10-21	62	A
USGS	10011500	1943-10-22	54	A
USGS	10011500	1943-10-23	54	A
USGS	10011500	1943-10-24	56	A
USGS	10011500	1943-10-25	59	A
USGS	10011500	1943-10-26	62	A
USGS	10011500	1943-10-27	65	A
USGS	10011500	1943-10-28	80	A
USGS	10011500	1943-10-29	71	A
USGS	10011500	1943-10-30	64	A
USGS	10011500	1943-10-31	56	A
USGS	10011500	1943-11-01	52	A
USGS	10011500	1943-11-02	52	A
USGS	10011500	1943-11-03	52	A
USGS	10011500	1943-11-04	52	A
USGS	10011500	1943-11-05	50	A
USGS	10011500	1943-11-06	50	A
USGS	10011500	1943-11-07	50	A
USGS	10011500	1943-11-08	50	A
USGS	10011500	1943-11-09	50	A
USGS	10011500	1943-11-10	50	A
USGS	10011500	1943-11-11	49	A
USGS	10011500	1943-11-12	48	A
USGS	10011500	1943-11-13	49	A
USGS	10011500	1943-11-14	43	A
USGS	10011500	1943-11-15	42	A
USGS	10011500	1943-11-16	42	A
USGS	10011500	1943-11-17	42	A
USGS	10011500	1943-11-18	47	A
USGS	10011500	1943-11-19	44	A
USGS	10011500	1943-11-20	46	A
USGS	10011500	1943-11-21	41	A
USGS	10011500	1943-11-22	46	A
USGS	10011500	1943-11-23	42	A
USGS	10011500	1943-11-24	42	A
USGS	10011500	1943-11-25	41	A
USGS	10011500	1943-11-26	40	A
USGS	10011500	1943-11-27	40	A
USGS	10011500	1943-11-28	40	A
USGS	10011500	1943-11-29	40	A
USGS	10011500	1943-11-30	40	A
USGS	10011500	1943-12-01	39	A
USGS	10011500	1943-12-02	39	A
USGS	10011500	1943-12-03	39	A
USGS	10011500	1943-12-04	39	A
USGS	10011500	1943-12-05	39	A
USGS	10011500	1943-12-06	39	A
USGS	10011500	1943-12-07	39	A
USGS	10011500	1943-12-08	39	A
USGS	10011500	1943-12-09	39	A
USGS	10011500	1943-12-10	39	A
USGS	10011500	1943-12-11	39	A
USGS	10011500	1943-12-12	39	A
USGS	10011500	1943-12-13	39	A
USGS	10011500	1943-12-14	39	A
USGS	10011500	1943-12-15	39	A
USGS	10011500	1943-12-16	39	A
USGS	10011500	1943-12-17	39	A
USGS	10011500	1943-12-18	39	A
USGS	10011500	1943-12-19	39	A
USGS	10011500	1943-12-20	39	A
USGS	10011500	1943-12-21	39	A
USGS	10011500	1943-12-22	39	A
USGS	10011500	1943-12-23	39	A
USGS	10011500	1943-12-24	39	A
USGS	10011500	1943-12-25	39	A
USGS	10011500	1943-12-26	39	A
USGS	10011500	1943-12-27	39	A
USGS	10011500	1943-12-28	39	A
USGS	10011500	1943-12-29	39	A
USGS	10011500	1943-12-30	39	A
USGS	10011500	1943-12-31	39	A
USGS	10011500	1944-01-01	37	A
USGS	10011500	1944-01-02	37	A
USGS	10011500	1944-01-03	37	A
USGS	10011500	1944-01-04	37	A
USGS	10011500	1944-01-05	37	A
USGS	10011500	1944-01-06	37	A
USGS	10011500	1944-01-07	37	A
USGS	10011500	1944-01-08	37	A
USGS	10011500	1944-01-09	37	A
USGS	10011500	1944-01-10	37	A
USGS	10011500	1944-01-11	37	A
USGS	10011500	1944-01-12	37	A
USGS	10011500	1944-01-13	37	A
USGS	10011500	1944-01-14	37	A
USGS	10011500	1944-01-15	37	A
USGS	10011500	1944-01-16	37	A
USGS	10011500	1944-01-17	37	A
USGS	10011500	1944-01-18	37	A
USGS	10011500	1944-01-19	37	A
USGS	10011500	1944-01-20	37	A
USGS	10011500	1944-01-21	37	A
USGS	10011500	1944-01-22	37	A
USGS	10011500	1944-01-23	37	A
USGS	10011500	1944-01-24	37	A
USGS	10011500	1944-01-25	37	A
USGS	10011500	1944-01-26	37	A
USGS	10011500	1944-01-27	37	A
USGS	10011500	1944-01-28	37	A
USGS	10011500	1944-01-29	37	A
USGS	10011500	1944-01-30	37	A
USGS	10011500	1944-01-31	37	A
USGS	10011500	1944-02-01	36	A
USGS	10011500	1944-02-02	36	A
USGS	10011500	1944-02-03	36	A
USGS	10011500	1944-02-04	36	A
USGS	10011500	1944-02-05	36	A
USGS	10011500	1944-02-06	36	A
USGS	10011500	1944-02-07	36	A
USGS	10011500	1944-02-08	36	A
USGS	10011500	1944-02-09	36	A
USGS	10011500	1944-02-10	36	A
USGS	10011500	1944-02-11	36	A
USGS	10011500	1944-02-12	36	A
USGS	10011500	1944-02-13	36	A
USGS	10011500	1944-02-14	36	A
USGS	10011500	1944-02-15	36	A
USGS	10011500	1944-02-16	36	A
USGS	10011500	1944-02-17	36	A
USGS	10011500	1944-02-18	36	A
USGS	10011500	1944-02-19	36	A
USGS	10011500	1944-02-20	36	A
USGS	10011500	1944-02-21	36	A
USGS	10011500	1944-02-22	36	A
USGS	10011500	1944-02-23	36	A
USGS	10011500	1944-02-24	36	A
USGS	10011500	1944-02-25	36	A
USGS	10011500	1944-02-26	36	A
USGS	10011500	1944-02-27	36	A
USGS	10011500	1944-02-28	36	A
USGS	10011500	1944-02-29	36	A
USGS	10011500	1944-03-01	33	A
USGS	10011500	1944-03-02	33	A
USGS	10011500	1944-03-03	33	A
USGS	10011500	1944-03-04	33	A
USGS	10011500	1944-03-05	33	A
USGS	10011500	1944-03-06	33	A
USGS	10011500	1944-03-07	33	A
USGS	10011500	1944-03-08	33	A
USGS	10011500	1944-03-09	33	A
USGS	10011500	1944-03-10	33	A
USGS	10011500	1944-03-11	33	A
USGS	10011500	1944-03-12	33	A
USGS	10011500	1944-03-13	33	A
USGS	10011500	1944-03-14	33	A
USGS	10011500	1944-03-15	33	A
USGS	10011500	1944-03-16	33	A
USGS	10011500	1944-03-17	33	A
USGS	10011500	1944-03-18	33	A
USGS	10011500	1944-03-19	33	A
USGS	10011500	1944-03-20	33	A
USGS	10011500	1944-03-21	32	A
USGS	10011500	1944-03-22	32	A
USGS	10011500	1944-03-23	30	A
USGS	10011500	1944-03-24	29	A
USGS	10011500	1944-03-25	28	A
USGS	10011500	1944-03-26	27	A
USGS	10011500	1944-03-27	27	A
USGS	10011500	1944-03-28	26	A
USGS	10011500	1944-03-29	26	A
USGS	10011500	1944-03-30	24	A
USGS	10011500	1944-03-31	24	A
USGS	10011500	1944-04-01	24	A
USGS	10011500	1944-04-02	23	A
USGS	10011500	1944-04-03	25	A
USGS	10011500	1944-04-04	28	A
USGS	10011500	1944-04-05	32	A
USGS	10011500	1944-04-06	34	A
USGS	10011500	1944-04-07	33	A
USGS	10011500	1944-04-08	30	A
USGS	10011500	1944-04-09	30	A
USGS	10011500	1944-04-10	29	A
USGS	10011500	1944-04-11	32	A
USGS	10011500	1944-04-12	47	A
USGS	10011500	1944-04-13	43	A
USGS	10011500	1944-04-14	42	A
USGS	10011500	1944-04-15	41	A
USGS	10011500	1944-04-16	40	A
USGS	10011500	1944-04-17	40	A
USGS	10011500	1944-04-18	40	A
USGS	10011500	1944-04-19	40	A
USGS	10011500	1944-04-20	40	A
USGS	10011500	1944-04-21	40	A
USGS	10011500	1944-04-22	40	A
USGS	10011500	1944-04-23	40	A
USGS	10011500	1944-04-24	40	A
USGS	10011500	1944-04-25	40	A
USGS	10011500	1944-04-26	40	A
USGS	10011500	1944-04-27	42	A
USGS	10011500	1944-04-28	44	A
USGS	10011500	1944-04-29	48	A
USGS	10011500	1944-04-30	50	A
USGS	10011500	1944-05-01	50	A
USGS	10011500	1944-05-02	50	A
USGS	10011500	1944-05-03	50	A
USGS	10011500	1944-05-04	50	A
USGS	10011500	1944-05-05	80	A
USGS	10011500	1944-05-06	150	A
USGS	10011500	1944-05-07	250	A
